Station Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burlington,21.8,22.4,21.7,22.5,26.2,23.4,23.4,26.3,22.8,21.0,23.9,23.5,24.6,24.9,24.1,26.6,25.9,26.7,26.4,25.5,26.5,27.6,27.1,27.6,26.6,28.3,27.4,26.6
Cornwall,23.5,20.9,22.8,24.2,25.8,24.0,29.0,24.8,25.9,23.8,27.7,27.5,28.3,26.6,25.5,27.9,26.1,27.1,26.9,27.3,27.9,27.1,27.2,27.6,26.9,26.4,26.7,26.3
Dorset,30.9,28.6,30.9,30.6,31.0,29.3,31.0,32.4,30.1,28.8,32.3,28.9,29.9,29.3,27.7,28.6,27.0,28.0,28.1,27.7,27.0,27.4,26.9,28.2,27.5,27.1,26.8,26.3
Grand Bend,31.3,31.9,31.2,31.2,32.5,32.6,31.6,29.8,30.7,25.8,32.5,29.7,31.7,31.3,29.6,35.0,32.8,33.2,32.3,31.0,30.4,30.7,31.0,31.5,31.6,30.9,32.0,31.9
Hamilton Downtown,18.0,17.3,18.1,19.1,19.5,17.0,18.8,20.4,21.7,20.1,23.3,23.2,24.8,25.1,24.3,26.9,25.4,25.7,25.0,25.3,25.9,26.7,25.6,25.6,24.4,26.3,26.4,25.9
Hamilton Mountain,20.4,20.8,22.2,24.1,24.1,22.6,24.2,27.7,28.4,24.6,28.2,27.5,29.2,29.0,27.2,29.7,28.8,30.2,29.5,29.1,29.4,29.5,29.1,29.3,27.5,29.3,28.7,28.2
Hamilton West,18.1,17.3,18.6,19.3,20.0,16.9,18.6,20.5,22.0,19.2,21.2,20.9,23.0,23.3,21.8,24.5,24.2,24.2,24.4,22.7,23.9,24.4,25.0,25.5,23.6,25.2,24.9,25.2
Kingston,21.0,21.0,20.1,21.5,21.5,19.1,20.7,23.0,24.0,22.5,24.8,24.9,33.9,32.7,30.3,32.6,30.3,32.7,30.3,31.4,30.3,30.5,30.4,30.5,29.9,30.1,30.2,29.9
Kitchener,25.1,23.8,23.4,25.4,25.2,23.0,25.7,27.3,28.1,24.8,28.0,26.6,28.6,28.1,27.0,29.4,27.6,28.0,28.0,27.3,27.9,28.8,28.1,27.7,27.2,27.7,28.4,28.9
North Bay,27.1,25.4,26.6,27.4,29.1,22.1,26.6,26.8,27.0,25.2,28.0,26.7,27.1,27.7,26.1,28.0,26.7,26.1,27.4,26.7,27.0,26.4,26.4,26.0,26.4,26.2,26.4,27.2
Ottawa Downtown,20.9,18.9,20.5,19.1,21.2,19.9,25.0,24.9,24.7,21.7,23.3,23.6,24.7,23.3,23.4,25.7,24.2,26.0,25.6,24.8,25.6,25.6,25.5,26.4,25.9,25.2,25.8,26.1
Sarnia,22.2,25.2,24.5,26.1,26.5,24.3,25.6,26.5,24.7,23.8,27.4,26.7,28.6,28.7,26.6,30.7,29.7,29.7,28.6,27.1,27.8,28.8,28.4,29.0,29.2,26.7,30.2,31.0
Sault Ste. Marie,23.9,22.8,24.9,22.3,24.1,24.8,25.2,24.2,26.8,27.0,30.2,29.1,29.7,28.9,27.8,28.4,27.8,28.8,28.9,28.4,27.8,27.3,28.1,29.7,28.1,28.2,29.2,28.8
St. Catharines,20.5,20.3,20.9,20.8,21.7,18.9,21.2,24.1,25.3,23.6,26.3,26.2,28.1,27.5,25.6,28.3,28.0,28.7,28.6,28.5,28.6,29.8,28.1,28.5,28.4,30.2,29.8,29.8
Toronto East,19.3,18.9,18.0,20.5,21.5,19.6,21.7,21.0,21.8,19.9,22.4,22.0,23.2,21.6,22.1,23.0,23.3,24.6,24.1,23.4,23.5,25.5,24.4,25.2,24.6,26.1,26.2,25.1
Toronto North,18.6,16.4,21.6,22.0,22.8,20.6,23.4,25.1,23.6,22.5,24.5,23.3,24.5,22.7,22.1,24.8,23.6,25.7,25.3,25.3,25.7,25.9,24.0,25.5,24.1,26.0,26.4,24.3
Windsor Downtown,18.3,20.3,20.7,21.4,21.7,18.6,20.5,21.9,22.9,20.2,25.3,24.6,27.0,26.9,24.8,28.0,27.2,28.0,26.9,26.0,27.0,27.7,27.3,26.9,26.6,27.3,28.8,30.4
Windsor West,19.3,20.8,17.9,18.7,18.9,17.0,19.0,20.2,22.9,22.6,25.6,24.3,25.3,25.9,24.9,26.7,26.4,28.0,26.7,27.2,26.5,27.7,27.0,27.0,27.3,26.0,29.4,29.5
